ID,DayClassification,DayClassificationID
789,Weekday,789
790,Weekday,790
791,Weekday,791
792,Weekday,792
793,Weekday,793
794,Weekday,794
795,Weekday,795
796,Weekday,796
797,Weekday,797
798,Weekday,798
799,Weekday,799
800,Weekday,800
801,Weekday,801
802,Weekday,802
803,Weekday,803
804,Weekday,804
805,Weekday,805
806,Weekday,806
807,Weekday,807
808,Weekday,808
809,Weekday,809
810,Weekday,810
811,Weekday,811
812,Weekday,812
813,Weekday,813
814,Weekday,814
815,Weekday,815
816,Weekday,816
817,Weekday,817
818,Weekday,818
819,Weekday,819
820,Weekday,820
821,Weekday,821
822,Weekday,822
823,Weekday,823
824,Weekday,824
825,Weekday,825
826,Weekday,826
827,Weekday,827
828,Weekday,828
829,Weekday,829
830,Weekday,830
831,Weekday,831
832,Weekday,832
833,Weekday,833
834,Weekday,834
835,Weekday,835
836,Weekend,836
837,Weekend,837
838,Weekend,838
839,Weekend,839
840,Weekend,840
841,Weekday,841
842,Weekday,842
843,Weekday,843
844,Weekday,844
845,Weekday,845
846,Weekday,846
847,Weekday,847
848,Weekday,848
849,Weekday,849
850,Weekday,850
851,Weekday,851
852,Weekend,852
853,Weekend,853
854,Weekend,854
855,Weekend,855
856,Weekend,856
857,Weekend,857
858,Weekend,858
859,Weekend,859
860,Weekend,860
861,Weekend,861
862,Weekend,862
863,Weekend,863
864,Weekend,864
865,Weekend,865
866,Weekend,866
867,Weekend,867
868,Weekend,868
869,Weekend,869
870,Weekend,870
871,Weekend,871
872,Weekend,872
873,Weekend,873
874,Weekend,874
875,Weekend,875
876,Weekend,876
877,Weekend,877
878,Weekend,878
879,Weekend,879
880,Weekend,880
881,Weekend,881
882,Weekday,882
883,Weekday,883
884,Weekday,884
885,Weekday,885
886,Weekday,886
887,Weekday,887
888,Weekday,888
889,Weekday,889
890,Weekday,890
891,Weekday,891
892,Weekday,892
893,Weekday,893
894,Weekday,894
895,Weekday,895
896,Weekday,896
897,Weekday,897
898,Weekday,898
899,Weekday,899
900,Weekday,900
901,Weekday,901
902,Weekday,902
903,Weekday,903
904,Weekday,904
905,Weekday,905
906,Weekday,906
907,Weekday,907
908,Weekday,908
909,Weekday,909
910,Weekday,910
911,Weekday,911
912,Weekday,912
913,Weekday,913
914,Weekday,914
915,Weekday,915
916,Weekend,916
917,Weekend,917
918,Weekend,918
919,Weekend,919
920,Weekday,920
921,Weekday,921
922,Weekday,922
923,Weekday,923
924,Weekday,924
925,Weekday,925
926,Weekday,926
927,Weekday,927
